INFO | 2023-01-07 00:00:21,001 | server.py | Client ('127.0.0.1', 51980) connected
DEBUG | 2023-01-07 00:00:21,003 | server.py | Received message: {'action': 'presence', 'time': 1673020821.0008264, 'user': {'account_name': 'Mark'}}
ERROR | 2023-01-07 00:00:21,004 | server.py | Server response: 400
DEBUG | 2023-01-07 00:00:21,005 | server.py | Called function client_message_handler with params ((<__main__.Server object at 0x00000241DCEDBFA0>, {'action': 'presence', 'time': 1673020821.0008264, 'user': {'account_name': 'Mark'}}, [], <socket.socket [closed] fd=-1, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0>, [], {'pet2': <socket.socket fd=328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51322)>, 'pet3': <socket.socket fd=444, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51324)>, 'nik': <socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51352)>, 'test3': <socket.socket fd=412, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51443)>, 'test4': <socket.socket fd=432, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51444)>, 'test1': <socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51445)>, 'test2': <socket.socket fd=448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51446)>, 'John': <socket.socket fd=492, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51861)>, 'Mark': <socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51862)>}), {}). From module __main__. From function server.main(). 
INFO | 2023-01-07 00:00:26,509 | server.py | Client ('127.0.0.1', 51986) connected
DEBUG | 2023-01-07 00:00:27,013 | server.py | Received message: {'action': 'presence', 'time': 1673020826.5094848, 'user': {'account_name': 'mark'}}
INFO | 2023-01-07 00:00:27,015 | server.py | Server response OK
DEBUG | 2023-01-07 00:00:27,019 | server.py | Called function client_message_handler with params ((<__main__.Server object at 0x00000241DCEDBFA0>, {'action': 'presence', 'time': 1673020826.5094848, 'user': {'account_name': 'mark'}}, [], <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51986)>, [<socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51986)>], {'pet2': <socket.socket fd=328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51322)>, 'pet3': <socket.socket fd=444, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51324)>, 'nik': <socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51352)>, 'test3': <socket.socket fd=412, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51443)>, 'test4': <socket.socket fd=432, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51444)>, 'test1': <socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51445)>, 'test2': <socket.socket fd=448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51446)>, 'John': <socket.socket fd=492, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51861)>, 'Mark': <socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51862)>, 'mark': <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51986)>}), {}). From module __main__. From function server.main(). 
DEBUG | 2023-01-07 00:00:31,110 | server.py | Received message: {'action': 'exit', 'time': 1673020830.795598, 'account_name': 'mark'}
DEBUG | 2023-01-07 00:00:31,114 | server.py | Called function client_message_handler with params ((<__main__.Server object at 0x00000241DCEDBFA0>, {'action': 'exit', 'time': 1673020830.795598, 'account_name': 'mark'}, [], <socket.socket [closed] fd=-1, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0>, [], {'pet2': <socket.socket fd=328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51322)>, 'pet3': <socket.socket fd=444, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51324)>, 'nik': <socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51352)>, 'test3': <socket.socket fd=412, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51443)>, 'test4': <socket.socket fd=432, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51444)>, 'test1': <socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51445)>, 'test2': <socket.socket fd=448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51446)>, 'John': <socket.socket fd=492, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51861)>, 'Mark': <socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51862)>}), {}). From module __main__. From function server.main(). 
INFO | 2023-01-07 00:00:49,418 | server.py | Client ('127.0.0.1', 51987) connected
INFO | 2023-01-07 00:00:49,429 | server.py | Client ('127.0.0.1', 51988) connected
DEBUG | 2023-01-07 00:00:49,430 | server.py | Received message: {'action': 'presence', 'time': 1673020849.418117, 'user': {'account_name': 'mark'}}
INFO | 2023-01-07 00:00:49,430 | server.py | Server object created address: 127.0.0.1, port: 7777
INFO | 2023-01-07 00:00:49,430 | server.py | Server response OK
